id,loan_amnt,home_ownership,annual_inc,dti,int_rate,tax_liens,loan_status,forty_plus_indicator,credit_age
66301,5000.0,RENT,60000.0,8.1,0.1235,0.0,0,Under Forty,6656
66441,8875.0,MORTGAGE,75000.0,4.93,0.1885,0.0,0,Over Forty,4494
66500,9000.0,MORTGAGE,52000.0,26.98,0.1155,0.0,0,Under Forty,7507
66554,3600.0,RENT,93669.0,17.44,0.21600000000000003,0.0,0,Under Forty,7933
66569,12000.0,RENT,84000.0,17.41,0.10640000000000001,0.0,0,Under Forty,5649
66651,12500.0,MORTGAGE,62000.0,24.83,0.1235,0.0,0,Under Forty,6472
66764,6350.0,OWN,23000.0,34.8,0.1885,0.0,0,Over Forty,7355
66806,7000.0,RENT,40000.0,21.78,0.1155,0.0,0,Over Forty,7110
66875,8875.0,MORTGAGE,55000.0,12.94,0.10640000000000001,0.0,0,Under Forty,8724
67156,10000.0,RENT,55000.0,14.09,0.17559999999999998,0.0,0,Under Forty,8999
67165,12000.0,MORTGAGE,130000.0,6.02,0.0971,0.0,0,Over Forty,6898
67167,9600.0,MORTGAGE,42000.0,13.76,0.1155,0.0,0,Under Forty,6015
67199,12000.0,MORTGAGE,55000.0,9.75,0.0662,0.0,0,Under Forty,7355
67242,31500.0,OWN,150000.0,8.9,0.1522,0.0,0,Under Forty,8816
67320,10000.0,MORTGAGE,110000.0,5.61,0.1235,0.0,0,Under Forty,14112
67332,11950.0,RENT,49900.0,6.3,0.1235,0.0,0,Under Forty,5711
67367,12000.0,MORTGAGE,70000.0,25.65,0.1825,0.0,0,Under Forty,6015
67388,6000.0,MORTGAGE,80000.0,5.46,0.0971,0.0,0,Over Forty,6138
67425,9900.0,RENT,48000.0,12.72,0.1522,0.0,0,Over Forty,6898
67430,15200.0,MORTGAGE,105000.0,3.42,0.08900000000000001,0.0,0,Under Forty,8663
67454,17050.0,RENT,72000.0,15.27,0.1155,0.0,0,Under Forty,14812
67471,28000.0,MORTGAGE,132000.0,15.38,0.1588,0.0,0,Under Forty,6533
67497,6075.0,RENT,22500.0,12.53,0.20309999999999997,0.0,0,Under Forty,5072
67510,4200.0,OWN,62400.0,33.36,0.1522,0.0,0,Under Forty,6960
67618,18000.0,MORTGAGE,168000.0,25.37,0.1368,0.0,0,Over Forty,12620
67645,9000.0,MORTGAGE,45000.0,17.97,0.1522,0.0,0,Under Forty,9060
67648,32000.0,MORTGAGE,80005.0,21.99,0.19519999999999998,0.0,0,Under Forty,10369
67651,2000.0,RENT,43000.0,20.48,0.1588,0.0,0,Under Forty,10155
67704,8000.0,MORTGAGE,135000.0,5.13,0.0971,0.0,0,Under Forty,11738
67738,6500.0,RENT,110000.0,11.92,0.222,0.0,1,Under Forty,7538
67754,3000.0,OWN,54600.0,18.86,0.20800000000000002,0.0,0,Under Forty,6260
67759,15000.0,RENT,67000.0,20.72,0.1305,0.0,0,Over Forty,11616
67777,11400.0,MORTGAGE,42500.0,17.11,0.1885,0.0,1,Under Forty,5164
67820,17500.0,MORTGAGE,91000.0,6.57,0.0971,0.0,0,Over Forty,5042
67821,4000.0,MORTGAGE,90000.0,25.19,0.17559999999999998,0.0,1,Under Forty,7721
67825,6000.0,MORTGAGE,60000.0,20.32,0.1678,0.0,1,Under Forty,6107
67836,10000.0,RENT,40000.0,12.09,0.19519999999999998,0.0,1,Over Forty,6077
67849,14000.0,MORTGAGE,205000.0,19.35,0.0762,0.0,0,Over Forty,9912
